"Overall Unemployment Rate, 1957 - 1991 (June) (Non-Seasonally Adjusted)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
June,1957,1966,1970,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991
(%),4.9,9.0,8.3,4.4,3.9,4.5,4.4,3.9,3.6,3.3,3.5,2.9,2.6,3.2,2.7,4.1,6.5,4.7,3.3,2.2,1.7,1.7
Source: ,,,,,,,,,,,,,,,,,,,,,,
"Data for 1957, 1970 and 1973 were obtained from the Department of Statistics, Ministry of Trade and Industry.",,,,,,,,,,,,,,,,,,,,,,
"Data for 1966 were obtained from the Singapore Sample Household Survey, 1966 
",,,,,,,,,,,,,,,,,,,,,,
"Data from 1974 onwards are sourced from the Labour Force Surveys conducted by MOM except for selected periods, which use data from the Population Census (for June 1980 and 1990) conducted by Department of Statistics, Ministry of Trade and Industry.",,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,
The coverage and estimation procedures used in the Labour Force Survey were enhanced in 2005. Revised unemployment data using the new methodology are only available from June 1991. Data prior to 1991 are not strictly comparable with the current published unemployment series.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
