Year,Constituency,Electorate,PAP,WP,Others,No.Vote,Gen.Election,Date
1977,Radin Mas,17879,12053,5021,NA,805,FALSE,4/5/1977
1977,Bukit Merah,16937,11625,NA,4473,839,FALSE,13/7/1977
1979,Anson,11243,8127,NA,1300,1816,FALSE,10/2/1979
1979,Geylang West,20874,NA,NA,NA,NA,FALSE,10/2/1979
1979,Mountbatten,14258,10528,NA,2642,1088,FALSE,10/2/1979
1979,Nee Soon,15932,NA,NA,NA,NA,FALSE,10/2/1979
1979,Potong Pasir,14707,9056,NA,4491,1160,FALSE,10/2/1979
1979,Sembawang,17665,12824,NA,3528,1313,FALSE,10/2/1979
1979,Telok Blangah,22202,12687,8036,NA,1479,FALSE,10/2/1979
1981,Anson,14512,6359,7012,131,1010,FALSE,31/10/1981
1992,Marine Parade,73986,48965,NA,18161,6860,FALSE,19/12/1992
2012,Hougang,23368,8223,13460,NA,1685,FALSE,26/5/2012
2013,Punggol East,31649,12875,16045,521,2208,FALSE,26/1/2013
2016,Bukit Batok,25727,14452,NA,9150,2125,FALSE,7/5/2016
