Year,CPI,Inflation.1yr,Inflation.4yr
2024,116.3,2.376760563,3.912209727
2023,113.6,4.79704797,3.268019586
2022,108.4,6.170421156,2.219663026
2021,102.1,2.304609218,0.778067838
2020,99.8,-0.2,0.354354558
2019,100,0.60362173,0.252839407
2018,99.4,0.404040404,-0.023694167
2017,99,0.609756098,0.129102839
2016,98.4,-0.606060606,0.574376912
2015,99,-0.502512563,1.867196411
2014,99.5,1.015228426,3.308614026
2013,98.5,2.390852391,3.760689272
2012,96.2,4.565217391,3.310905169
2011,92,5.263157895,3.808945083
2010,87.4,2.823529412,3.040836022
2009,85,0.591715976,2.562521939
2008,84.5,6.557377049,2.545311899
2007,79.3,2.190721649,1.304374012
2006,77.6,0.910273082,0.890204948
2005,76.9,0.522875817,0.562902635
2004,76.5,1.593625498,0.701000885
2003,75.3,0.534045394,0.643193965
2002,74.9,-0.39893617,0.509682617
2001,75.2,1.075268817,0.541481877
2000,74.4,1.36239782,0.757429216
1999,73.4,0,0.767953356
1998,73.4,-0.27173913,1.196524785
1997,73.6,1.939058172,2.037655443
1996,72.2,1.404494382,2.117649937
1995,71.2,1.714285714,2.34433836
1994,70,3.092783505,2.792959914
1993,67.9,2.259036145,2.843487266
1992,66.4,2.311248074,2.868947454
1991,64.9,3.50877193,2.676409408
1990,62.7,3.294892916,1.928304206
1989,60.7,2.360876897,0.765022403
1988,59.3,1.54109589,0.302789527
1987,58.4,0.516351119,0.529403666
1986,58.1,-1.358234295,0.665333554
1985,58.9,0.511945392,2.01592154
1984,58.6,2.447552448,3.925708551
1983,57.2,1.060070671,5.415113543
1982,56.6,4.044117647,6.159064485
1981,54.4,8.151093439,6.199436942
1980,50.3,8.405172414,4.944796113
1979,46.4,4.035874439,2.37068977
1978,44.6,4.205607477,2.029196889
1977,42.8,3.13253012,6.54159324
1976,41.5,-1.891252955,10.63434723
1975,42.3,2.669902913,11.65063873
1974,41.2,22.25519288,11.44441762
1973,33.7,19.5035461,5.973211991
1972,28.2,2.173913043,1.005074543
1971,27.6,1.84501845,0.647469889
1970,27.1,0.37037037,1.051599892
1969,27,-0.36900369,1.449203378
1968,27.1,0.743494424,1.639879497
1967,26.9,3.461538462,1.854005891
1966,26,1.960784314,1.498825357
1965,25.5,0.393700787,1.111088295
1964,25.4,1.6,NA
1963,25,2.040816327,NA
1962,24.5,0.409836066,NA
1961,24.4,NA,NA
