"Year","Labour.Force","Total.Emp","Total.Unemp","Total.Unemp.1yr","Res.Unemp.1yr","Res.Unemp.4yr"
2024,4006.6,3910.7,95.9,2.4,3.3,3.725
2023,3936.3,3840.3,96,2.4,3.4,4.2
2022,3754.2,3656.2,98,2.6,3.6,4.4
2021,3607.6,3483.5,124.1,3.4,4.6,4.475
2020,3713.9,3574,139.9,3.8,5.2,4.375
2019,3742.5,3631.7,110.8,3,4.2,4.1
2018,3675.6,3575.3,100.2,2.7,3.9,4
2017,3657,3550.1,106.9,2.9,4.2,3.95
2016,3672.8,3570,102.8,2.8,4.1,3.875
2015,3610.6,3516,94.6,2.6,3.8,3.775
2014,3530.8,3440.2,90.7,2.6,3.7,3.8
2013,3443.7,3352.9,90.7,2.6,3.9,3.9
2012,3361.8,3274.7,87.1,2.6,3.7,4.4
2011,3237.1,3149.7,87.4,2.7,3.9,4.475
2010,3135.9,3047.2,88.8,2.8,4.1,4.5
2009,3030,2905.9,124.1,4.1,5.9,4.6
2008,2939.9,2858.1,81.8,2.8,4,4.525
2007,2710.3,2631.9,78.4,2.9,4,4.975
2006,2594.1,2505.8,88.3,3.4,4.5,5.45
2005,2367.3,2266.7,100.5,4.2,5.6,5.725
2004,2341.9,2238.1,103.8,4.4,5.8,5.275
2003,2312.3,2208.1,104.2,4.5,5.9,5.325
2002,2320.6,2223.2,97.4,4.2,5.6,5.075
2001,2330.5,2267.3,63.2,2.7,3.8,4.525
2000,2192.3,2094.8,97.5,4.4,6,4.2
1999,2208.7,2129.3,79.4,3.6,4.9,3.475
1998,2187.9,2133.8,54.1,2.5,3.4,3.05
1997,2116,2075.8,40.2,1.9,2.5,2.875
1996,2024.9,1976.4,48.5,2.4,3.1,2.95
1995,1749.3,1702.1,47.2,2.5,3.2,2.875
1994,1842.2,1801.2,41,2.2,2.7,2.64518260387217
1993,1762.7,1721.1,41.6,2.4,2.8,2.54036520774434
1992,1733.6,1692.1,41.5,2.4,2.8,2.57824857746126
1991,1673.7,1645,NA,1.7,2.28073041548867,2.98507363203664
1990,1562.8,1537,25.8,1.7,2.28073041548867,3.99127822710518
1989,NA,NA,NA,2.2,2.95153347886769,5.60120557921483
1988,NA,NA,NA,3.3,4.42730021830154,6.2384684894249
1987,NA,NA,NA,4.7,6.3055487957628,6.03722757041119
1986,NA,NA,NA,6.5,8.72043982392728,5.53412527287693
1985,NA,NA,NA,4.1,5.50058511970797,4.22605929928783
1984,NA,NA,NA,2.7,3.62233654224671,3.82357746126042
1983,NA,NA,NA,3.2,4.29313960562574,4.09189868661203
1982,NA,NA,NA,2.6,3.48817592957091,4.12543883978098
1981,NA,NA,NA,2.9,3.89065776759832,4.46084037147049
1980,1112.1,1073.4,38.7,3.5,4.69562144365315,4.79624190316
1979,NA,NA,NA,3.3,4.42730021830154,5.09810328168056
1978,NA,NA,NA,3.6,4.82978205632895,5.50058511970797
1977,NA,NA,NA,3.9,5.23226389435637,5.60120557921483
1976,NA,NA,NA,4.4,5.90306695773539,5.76890634505958
1975,NA,NA,NA,4.5,6.03722757041119,5.90306695773539
1974,NA,NA,NA,3.9,5.23226389435637,NA
1973,NA,NA,NA,4.4,5.90306695773539,NA
1972,NA,NA,NA,4.8,6.4397094084386,NA
1971,NA,NA,NA,NA,NA,NA
1970,701.7,644.2,57.5,8.2,11.0011702394159,NA
